Age,AnnualIncomeUSD,City,CompanySize,CompanyType,CurrentWorkplaceExperience,Domain,Education,EnglishLevel,IsStudyingCurrently,JobTitle,MonthlySalaryUAH,ProgrammingLanguage,ResponseDate,Sex,Specialization,TotalWorkExperience,University,UserAgent
37,6000,Sumy,11-50 employees,Other,10.0,"Desktop Applications,Corporate Systems",Higher,Pre-Intermediate,False,Software Engineer,14000,C++,11/06/2018 10:02:55,male,,10.0,SumSU,Mozilla/5.0 (Windows NT 10.0; rv:56.0) Gecko/20100101 Firefox/56.0
23,24000,Kyiv,11-50 employees,Product,2.0,eCommerce,Higher,Upper-Intermediate,False,Software Engineer,56000,Scala,11/06/2018 10:03:13,male,,3.0,KNU,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
27,45000,Kyiv,51-200 employees,Outsourcing,0.0,Web Development,Vocational,Intermediate,False,Senior Software Engineer,105000,JavaScript,11/06/2018 10:04:10,male,,3.0,,"Mozilla/5.0 (Linux; Android 7.0; WAS-LX1 Build/HUAWEIWAS-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
23,18000,Lviv,51-200 employees,Product,2.0,"Web Development,Corporate Systems",Higher,Intermediate,False,Software Engineer,42000,Java,11/06/2018 10:04:27,male,,2.0,Lviv Polytechnic,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
27,43200,Kyiv,201-1000 employees,Product,0.5,Multimedia,Higher,Upper-Intermediate,False,Software Engineer,100800,C++,11/06/2018 10:04:34,male,,6.0,KNU,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36"
20,7200,Chernihiv,11-50 employees,Outsourcing,1.0,"Android,Web Development",Secondary,Pre-Intermediate,False,Software Engineer,16800,JavaScript,11/06/2018 10:04:38,male,,2.0,,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Mobile Safari/537.36"
26,38400,Lviv,51-200 employees,Outstaffing,1.0,"Web Development,Corporate Systems",Higher,Upper-Intermediate,False,Senior Software Engineer,89600,C#/.NET,11/06/2018 10:04:51,male,,5.0,LNU,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
28,18000,Kyiv,11-50 employees,Outsourcing,1.0,"Android,Other",Higher,Upper-Intermediate,False,Software Engineer,42000,Java,11/06/2018 10:05:11,female,,2.0,NAU,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36"
28,19380,Kyiv,1001+ employees,Outsourcing,1.0,Web Development,Higher,Advanced,False,Software Engineer,45220,C#/.NET,11/06/2018 10:06:08,male,,2.0,NAU,"Mozilla/5.0 (Linux; Android 7.0; PRO 5 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2074.203 Mobile Safari/537.36"
21,14400,Kyiv,51-200 employees,Outsourcing,0.5,iOS,Higher,Pre-Intermediate,True,Junior Software Engineer,33600,Swift,11/06/2018 10:06:09,male,,1.5,NAU,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15"
30,42000,Lviv,201-1000 employees,Outsourcing,1.5,"Web Development,Corporate Systems",Higher,Upper-Intermediate,False,Senior Software Engineer,98000,JavaScript,11/06/2018 10:06:24,male,,5.0,Lviv Polytechnic,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
23,14400,Kyiv,11-50 employees,Outsourcing,0.0,Web Development,Higher,Elementary,True,Software Engineer,33600,PHP,11/06/2018 10:06:35,male,,3.0,NUPT,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
26,42000,Kyiv,11-50 employees,Outsourcing,0.0,"Web Development,Corporate Systems",Higher,Upper-Intermediate,False,Senior Software Engineer,98000,JavaScript,11/06/2018 10:06:36,male,,3.0,KPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.36 OPR/53.0.2907.68"
32,32400,Odesa,51-200 employees,Product,6.0,Telecom,Higher,Upper-Intermediate,False,Senior Software Engineer,75600,Other,11/06/2018 10:07:12,male,,10.0,DonNTU,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
25,35340,Kyiv,201-1000 employees,Product,3.0,Gamedev,Higher,Upper-Intermediate,False,Software Engineer,82460,Java,11/06/2018 10:07:15,male,,4.0,KNU,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
24,13200,Vinnytsia,201-1000 employees,Outsourcing,1.5,Web Development,Higher,Upper-Intermediate,False,Software Engineer,30800,JavaScript,11/06/2018 10:07:30,male,,1.5,VNTU,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 Twitter for iPhone/7.25"
28,57600,Kyiv,1-10 employees,Startup,1.5,"Web Development,Telecom",Higher,Upper-Intermediate,False,Senior Software Engineer,134400,Golang,11/06/2018 10:07:43,male,,1.5,NaUKMA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
24,50400,Kyiv,1001+ employees,Outsourcing,0.25,Web Development,Unfinished higher,Upper-Intermediate,False,Senior Software Engineer,117600,JavaScript,11/06/2018 10:07:45,male,,5.0,KNU,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36"
33,28800,Kharkiv,51-200 employees,Product,10.0,"Embedded,Telecom",Higher,Advanced,False,Senior Software Engineer,67200,C,11/06/2018 10:07:47,male,,10.0,KhNU (Kharkiv),"Mozilla/5.0 (Linux; Android 7.0; Redmi Note 4 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/65.0.3325.109 Mobile Safari/537.36"
26,42000,Kyiv,11-50 employees,Product,1.5,Web Development,Secondary,Upper-Intermediate,False,Senior Software Engineer,98000,Clojure,11/06/2018 10:07:53,male,,7.0,,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
37,15600,Remote,1-10 employees,Startup,1.0,Web Development,Higher,Pre-Intermediate,False,Software Engineer,36400,PHP,11/06/2018 10:08:21,male,,6.0,KhNURE,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0
22,12000,Kherson,1001+ employees,Outsourcing,3.0,"Web Development,Other",Higher,Intermediate,False,Software Engineer,28000,C#/.NET,11/06/2018 10:08:31,male,,3.0,Other,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
27,16800,Kyiv,51-200 employees,Product,2.0,"Web Development,eCommerce",Unfinished higher,Intermediate,False,Software Engineer,39200,C#/.NET,11/06/2018 10:08:36,male,,2.0,Other,"Mozilla/5.0 (Linux; Android 7.1.1; Lenovo TB-X704L Build/NMF26F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.3359.158 Safari/537.36"
